id,nombre,dni,carrera,semestre,nota1,nota2,nota3,nota4
53,Fabian Paredes Rojas,92652051,Sistemas,7,15,10,19,17
54,Ivan Munoz Aguilar,23921516,Quimica,7,17,15,18,9
55,Ivan Munoz Flores,55192356,Mecanica,2,20,9,15,20
56,Monica Perez Vega,50319372,Sistemas,7,15,7,14,15
57,Paula Ramirez Cano,63557521,Computacion,2,18,8,13,11
58,Julia Soto Flores,49326772,Electronica,3,16,17,20,20
59,Patricio Munoz Fuentes,51520382,Ambiental,2,13,18,19,16
60,Ana Alvarez Vargas,28771109,Quimica,3,16,15,16,16
61,Andres Medina Romero,84409459,Electrica,1,4,18,11,14
62,Tomas Ramos Ruiz,61584763,Mecanica,4,10,13,10,15
63,Marco Garcia Soto,96760250,Sistemas,5,15,16,9,20
64,Matias Salinas Lopez,93863873,Civil,6,16,9,15,20
65,Paula Cabrera Delgado,47937966,Electrica,2,13,14,15,17
66,Cecilia Paredes Ruiz,40498832,Biomedica,6,18,12,13,9
67,Isabella Rios Mendoza,50002221,Electrica,9,14,14,15,13
68,Beatriz Medina Mendoza,12656477,Civil,3,16,15,12,13
69,Sebastian Paredes Perez,97108195,Biomedica,7,18,14,18,9
70,Claudia Gonzalez Garcia,50583588,Sistemas,3,20,10,16,8
71,Andrea Salinas Rios,10074896,Electronica,6,18,8,11,15
72,Gustavo Campos Delgado,44814219,Ambiental,8,14,14,16,14
73,Ricardo Medina Mora,41690271,Quimica,2,9,20,11,20
74,Valentina Soto Salinas,84041773,Industrial,10,14,13,8,20
75,Sebastian Guerrero Reyes,21108859,Civil,8,12,9,9,16
76,Diana Mora Rios,84390986,Electronica,5,11,14,18,9
77,Claudia Vega Cruz,91125734,Mecanica,8,14,12,15,13
78,Cecilia Cano Chavez,22898121,Biomedica,7,2,10,14,12
79,Pablo Reyes Vega,11308262,Industrial,6,2,12,16,16
80,Claudia Ruiz Vega,86682628,Mecanica,10,10,20,20,12
81,Patricia Rojas Vargas,18834298,Mecanica,9,18,12,15,12
82,Diana Rodriguez Fuentes,47734076,Ambiental,3,14,14,4,9
83,Julia Ramos Diaz,57579518,Industrial,5,12,16,13,14
84,Marcelo Fernandez Mendoza,69091769,Mecanica,4,13,20,12,14
85,Diana Rios Paredes,27605262,Biomedica,9,6,15,15,14
86,Hugo Rojas Ortiz,46022258,Quimica,10,10,12,12,10
87,Marco Perez Rodriguez,43272347,Electronica,8,19,15,11,7
88,Gloria Guerrero Ramirez,76774182,Mecanica,2,17,14,16,17
89,Oscar Gonzalez Castillo,67886359,Ambiental,8,17,10,11,0
90,Carolina Aguilar Herrera,58047868,Computacion,4,10,10,20,9
91,Lucia Ramirez Silva,66006669,Industrial,1,6,8,15,7
92,Pablo Ramos Salinas,33705750,Mecanica,3,10,12,10,10
93,Helena Vega Herrera,22640111,Biomedica,7,9,10,12,11
94,Adrian Mendoza Silva,42933878,Sistemas,8,8,10,11,10
95,Carlos Paredes Soto,61570297,Mecanica,9,11,15,20,12
96,Claudia Munoz Rios,93329918,Sistemas,1,16,15,11,10
97,Patricia Ramos Cano,80479560,Mecanica,6,7,20,14,12
98,Claudia Lopez Mendoza,19001836,Ambiental,2,18,10,14,13
99,Monica Diaz Munoz,16973577,Civil,7,16,19,7,10
100,Oscar Mora Ramirez,75451318,Ambiental,10,15,9,12,9
101,Cristian Mendoza Mora,84615380,Computacion,5,14,8,5,15
102,Claudia Vega Diaz,14984800,Electrica,8,7,12,9,8
103,Diego Vega Rodriguez,72729760,Electronica,6,5,11,16,17
104,Antonella Castillo Castillo,43199862,Electronica,3,16,11,18,11
105,Felipe Paredes Herrera,77047183,Electronica,8,19,16,15,14
106,Fernanda Mora Fernandez,99770656,Civil,9,9,7,20,13
107,Fernanda Sanchez Cabrera,87807140,Sistemas,2,19,19,18,12
108,Carlos Vargas Ramirez,30874162,Quimica,10,9,19,12,9
109,Diana Herrera Guerrero,13299113,Civil,1,17,13,19,11
110,Ana Vargas Torres,27731641,Biomedica,4,8,12,10,13
111,Raul Mora Fuentes,36025123,Civil,10,13,15,19,10
112,Valeria Aguilar Vargas,45229179,Biomedica,10,9,8,14,16
113,Hernan Cano Torres,29970281,Electrica,1,9,16,13,20
114,Renata Navarro Vargas,56134159,Quimica,3,14,12,11,11
115,Gustavo Chavez Garcia,27737302,Civil,3,15,11,13,15
116,Claudia Mora Lopez,55400384,Sistemas,9,12,9,17,17
117,Diana Ramirez Ruiz,71573036,Electrica,4,12,13,13,14
118,Felipe Pena Herrera,80689893,Sistemas,10,12,15,15,7
119,Camila Ramirez Ramos,76881580,Electrica,9,15,11,15,13
120,Rodrigo Delgado Rojas,39337526,Biomedica,4,11,11,17,20
121,Julia Torres Gonzalez,27703087,Civil,4,13,14,15,16
122,Hernan Gonzalez Rios,30146285,Quimica,6,15,13,19,13
123,Gustavo Ortiz Sanchez,91663238,Electronica,6,10,12,12,18
124,Nicolas Soto Diaz,90129083,Biomedica,4,12,13,17,14
125,Camila Molina Rodriguez,65025658,Civil,1,13,9,16,14
126,Javier Cabrera Garcia,99855885,Quimica,1,15,13,16,19
127,Marco Lopez Garcia,91114005,Sistemas,10,12,11,14,9
128,Javier Molina Mora,51448416,Industrial,7,11,14,9,13
129,Javier Salinas Medina,26759505,Electronica,4,12,18,11,10
130,Adrian Munoz Garcia,66525531,Computacion,1,9,16,9,12
131,Hernan Campos Flores,57423750,Mecanica,1,15,12,11,13
132,Renata Ramos Salinas,93994366,Civil,3,11,16,9,9
133,Natalia Ruiz Sanchez,50424037,Industrial,7,20,13,17,10
134,Diana Rodriguez Munoz,10974013,Mecanica,6,11,18,10,13
135,Tomas Mora Perez,57630282,Electrica,4,16,8,15,12
136,Andres Vega Campos,11927639,Computacion,6,8,3,8,12
137,Maria Vega Aguilar,80114195,Computacion,2,14,10,10,12
138,Antonella Alvarez Vega,54007044,Biomedica,4,18,6,17,12
139,Andrea Cano Mora,37283888,Quimica,4,16,11,16,14
140,Emilio Herrera Vega,45700594,Ambiental,1,14,15,7,11
141,Antonella Ruiz Mora,10889536,Sistemas,2,13,10,14,7
142,Sebastian Silva Ramos,45435178,Civil,8,15,15,15,15
143,Maria Alvarez Chavez,45950647,Mecanica,7,13,14,10,11
144,Patricio Fernandez Rodriguez,37660388,Computacion,9,12,13,7,13
145,Emilio Fernandez Fuentes,27536862,Industrial,6,15,4,14,14
146,Maria Cruz Sanchez,25727819,Computacion,5,15,7,9,5
147,Sofia Paredes Molina,98740953,Ambiental,9,18,10,20,11
148,Camila Martinez Garcia,77005348,Mecanica,3,13,12,8,15
149,Lucia Chavez Ramirez,77297919,Industrial,8,12,10,17,18
150,Maria Alvarez Rojas,77005190,Ambiental,1,8,12,20,15
151,Lucia Flores Reyes,81299088,Computacion,10,17,14,15,16
152,Monica Molina Silva,55840616,Electrica,1,16,13,11,11
153,Diana Diaz Jimenez,87678228,Mecanica,5,14,14,9,9
154,Patricia Cano Torres,42172847,Computacion,2,12,14,13,9
155,Hugo Aguilar Delgado,92026672,Computacion,7,15,12,9,8
156,Fabian Fuentes Ramirez,68116574,Ambiental,1,11,7,5,14
157,Diego Guerrero Ramos,68522633,Electrica,6,11,11,14,15
158,Elena Guerrero Ruiz,13266034,Mecanica,9,13,13,12,19
159,Cristian Reyes Vargas,60111782,Electrica,5,18,12,5,19
160,Beatriz Pena Munoz,54769366,Quimica,7,12,18,14,18
161,Mauricio Herrera Morales,15977396,Quimica,6,14,10,13,20
162,Gloria Rojas Navarro,84796300,Quimica,4,13,14,10,12
163,Gloria Soto Castillo,49917554,Mecanica,6,15,13,17,5
164,Patricio Delgado Ramos,85400952,Computacion,7,10,19,12,10
165,Javier Salinas Espinoza,48577855,Quimica,2,9,20,8,20
166,Beatriz Rios Pena,57109525,Industrial,9,15,14,7,15
167,Pablo Espinoza Guerrero,15272522,Civil,2,10,14,18,14
168,Fernanda Vega Garcia,44185273,Electronica,9,17,11,14,10
169,Pablo Reyes Fuentes,24850499,Biomedica,9,11,19,7,16
170,Andrea Guerrero Guerrero,46726484,Civil,7,13,11,8,20
171,Sofia Vargas Ortiz,86663894,Civil,6,4,14,13,18
172,Leonardo Flores Castillo,73289288,Quimica,10,8,10,15,16
173,Paula Medina Vega,94410395,Industrial,3,10,15,11,10
174,Alejandro Rodriguez Ramirez,23700854,Sistemas,1,19,10,6,15
175,Irene Diaz Sanchez,75534657,Biomedica,6,14,9,11,10
176,Gloria Flores Morales,27677696,Electrica,3,8,15,12,14
177,Isabella Cruz Torres,75509523,Sistemas,4,19,11,12,9
178,Helena Ortiz Guerrero,91105085,Sistemas,10,16,17,14,16
179,Cecilia Herrera Aguilar,56396819,Electronica,8,8,13,20,11
180,Sebastian Soto Ramos,22115563,Electronica,3,10,15,16,13
181,Felipe Mendoza Soto,44389076,Sistemas,5,13,14,8,20
182,Beatriz Castillo Diaz,34792096,Electronica,8,12,6,5,14
183,Adrian Reyes Jimenez,61929231,Computacion,4,20,11,15,20
184,Claudia Flores Campos,90434244,Mecanica,10,13,16,19,13
185,Ricardo Jimenez Garcia,43757266,Sistemas,7,9,11,13,9
186,Carolina Ortiz Munoz,70152852,Ambiental,5,12,12,20,13
187,Leonardo Fuentes Soto,87705651,Electronica,6,17,2,11,9
188,Tomas Mora Vargas,87284189,Electrica,10,16,14,5,19
189,Camila Guerrero Ramirez,14039777,Sistemas,1,14,13,14,13
190,Lucia Martinez Cano,31350126,Computacion,9,10,15,11,12
191,Tomas Chavez Sanchez,82822137,Electronica,1,15,12,15,11
192,Marcelo Soto Romero,38369459,Electronica,10,13,9,20,17
193,Andres Rodriguez Romero,16270326,Computacion,3,11,15,9,18
194,Gloria Chavez Silva,71094893,Quimica,6,16,14,12,18
195,Daniela Perez Lopez,39603275,Quimica,3,9,15,13,16
196,Patricio Cano Castillo,30068317,Biomedica,8,16,16,9,20
197,Fernanda Lopez Torres,83414956,Ambiental,7,14,12,14,16
198,Carolina Jimenez Romero,67721572,Sistemas,2,13,9,11,8
199,Laura Garcia Espinoza,43801312,Biomedica,5,6,13,13,17
200,Javier Mora Mendoza,98169257,Computacion,5,11,13,12,13
201,Monica Campos Chavez,60933729,Mecanica,9,12,16,12,11
202,Ana Herrera Lopez,12581856,Computacion,10,20,20,7,7
203,Irene Mora Lopez,85700208,Industrial,5,13,12,11,16
204,Matias Pena Navarro,81051092,Electronica,5,20,14,8,16
205,Marco Aguilar Chavez,37101400,Computacion,5,14,12,6,11
206,Ignacio Ruiz Vega,66978744,Ambiental,8,6,16,18,12
207,Carlos Flores Rodriguez,43353633,Computacion,3,11,6,15,13
208,Patricia Delgado Lopez,68359805,Sistemas,9,11,7,7,9
209,Claudia Lopez Cano,26989313,Computacion,4,11,12,7,8
210,Pablo Romero Fuentes,27003985,Sistemas,3,15,17,17,17
211,Ana Jimenez Silva,14049639,Sistemas,7,9,13,11,16
212,Camila Romero Herrera,54133723,Civil,5,17,12,10,10
213,Patricio Rodriguez Sanchez,15745634,Biomedica,7,7,10,20,18
214,Patricia Lopez Mora,72618361,Mecanica,5,13,13,10,14
215,Irene Sanchez Torres,41632174,Electrica,9,12,11,20,12
216,Cristian Mendoza Gonzalez,96503094,Electrica,6,16,12,12,8
217,Valentina Cabrera Vargas,42044732,Industrial,10,19,13,6,14
218,Matias Aguilar Vargas,14417224,Electrica,8,10,18,18,17
219,Alejandro Fuentes Cruz,81965585,Electrica,3,13,17,8,16
220,Gustavo Cruz Silva,61440932,Mecanica,3,9,10,13,9
221,Monica Reyes Munoz,98612254,Ambiental,3,12,13,10,8
222,Julia Medina Lopez,93719820,Computacion,2,14,12,10,9
223,Monica Ramirez Silva,33330897,Computacion,1,16,16,9,11
224,Matias Gonzalez Medina,63887612,Electrica,6,18,14,8,16
225,Monica Martinez Herrera,67662702,Industrial,6,19,9,8,12
226,Mauricio Navarro Navarro,17533069,Electrica,5,10,18,12,14
227,Sebastian Reyes Rodriguez,41839800,Sistemas,5,17,11,15,16
228,Pablo Campos Romero,58766364,Electrica,5,16,11,9,17
229,Matias Rios Cano,94183326,Mecanica,2,18,19,14,14
230,Cristian Silva Rojas,10964706,Industrial,5,15,17,9,10
231,Valeria Rojas Ramirez,35595788,Computacion,1,10,9,14,13
232,Carolina Pena Aguilar,92168586,Electrica,7,12,17,14,12
233,Matias Martinez Paredes,98894783,Civil,8,15,20,9,17
234,Beatriz Molina Guerrero,72281960,Mecanica,7,13,18,11,12
235,Daniela Silva Delgado,75166302,Ambiental,6,10,11,11,5
236,Nicolas Medina Mora,75444059,Civil,5,10,13,14,20
237,Gabriela Gonzalez Castillo,98815318,Civil,3,11,16,15,11
238,Maria Ramos Perez,55407922,Sistemas,4,20,14,14,12
239,Maria Pena Garcia,45973909,Industrial,3,13,10,16,15
240,Patricio Cruz Gonzalez,71667262,Civil,2,14,18,14,17
241,Carlos Aguilar Molina,38804150,Civil,6,11,12,9,16
242,Valentina Cano Sanchez,28959135,Electronica,7,14,13,11,14
243,Emilio Alvarez Vargas,14601757,Electrica,2,12,13,10,13
244,Gustavo Vega Diaz,77375135,Electrica,9,16,14,16,8
245,Maria Castillo Aguilar,39331196,Quimica,2,14,17,14,14
246,Rodrigo Navarro Lopez,78153426,Biomedica,5,12,12,15,14
247,Leonardo Flores Lopez,56886196,Biomedica,10,19,11,5,18
248,Ignacio Silva Sanchez,82016270,Mecanica,3,11,14,11,13
249,Isabella Ortiz Cano,83082316,Computacion,1,14,6,8,16
250,Beatriz Torres Flores,30323466,Mecanica,6,11,12,11,20
251,Valentina Rios Morales,72370136,Biomedica,8,16,19,15,20
252,Matias Morales Paredes,36351012,Computacion,3,11,9,14,10
253,Carlos Herrera Rios,73790570,Electrica,9,11,10,14,12
254,Mauricio Reyes Mendoza,79989311,Mecanica,6,15,9,16,8
255,Raul Paredes Ruiz,95643852,Ambiental,3,11,15,12,12
256,Laura Ruiz Gonzalez,37856651,Electrica,6,16,14,12,12
257,Claudia Perez Navarro,66686819,Quimica,7,10,15,13,16
258,Valentina Soto Fuentes,81125553,Computacion,6,11,17,14,6
259,Ana Vargas Paredes,59536966,Electronica,3,12,16,11,19
260,Gustavo Morales Silva,14678706,Electronica,8,14,12,13,4
261,Camila Castillo Vega,70588267,Ambiental,9,16,17,13,8
262,Hernan Sanchez Gonzalez,87669679,Industrial,9,16,17,12,12
263,Fernando Mora Navarro,39374474,Ambiental,5,11,7,13,14
264,Cecilia Fernandez Ortiz,83947617,Sistemas,10,9,12,2,11
265,Antonella Chavez Castillo,25992381,Quimica,7,14,8,17,10
266,Gustavo Campos Molina,40346305,Electrica,4,13,8,9,7
267,Camila Salinas Torres,43927545,Biomedica,2,19,13,6,19
268,Oscar Torres Silva,68471906,Sistemas,5,16,10,12,15
269,Irene Vega Mora,15675115,Ambiental,5,11,16,12,14
270,Gabriela Ruiz Sanchez,77322498,Computacion,5,13,9,10,20
271,Helena Rojas Chavez,25134173,Computacion,4,16,17,14,9
272,Andrea Guerrero Espinoza,74371308,Ambiental,2,12,14,11,15
273,Andres Medina Ruiz,77506113,Computacion,8,12,17,15,15
274,Andrea Fuentes Chavez,16264064,Ambiental,2,12,17,18,15
275,Antonella Mendoza Martinez,72508268,Biomedica,4,9,16,15,11
276,Ricardo Sanchez Campos,35111632,Ambiental,9,14,13,14,18
277,Nicolas Fernandez Cano,62410497,Ambiental,7,20,17,11,14
278,Adrian Gonzalez Fuentes,56007429,Industrial,4,15,13,11,12
279,Renata Mendoza Sanchez,41628200,Electronica,5,9,11,14,11
280,Lucia Guerrero Cabrera,81951253,Biomedica,5,18,20,10,5
281,Lucia Fernandez Gonzalez,44030153,Electrica,7,15,11,11,13
282,Hugo Silva Chavez,50159873,Industrial,2,13,13,20,16
283,Julia Mendoza Romero,84107016,Industrial,9,15,2,13,15
284,Nicolas Delgado Ramos,85992801,Ambiental,6,7,16,7,13
285,Diego Alvarez Ramirez,76925170,Electrica,2,8,17,6,12
286,Isabella Sanchez Espinoza,26314609,Biomedica,9,16,12,13,13
287,Hernan Morales Vega,44302639,Mecanica,9,13,8,10,12
288,Monica Mora Reyes,75960051,Electronica,5,20,19,18,11
289,Diana Vega Pena,12076988,Industrial,5,12,13,17,11
290,Oscar Ramos Ramos,70940050,Ambiental,5,8,12,17,11
291,Valentina Munoz Delgado,71187261,Biomedica,3,10,12,18,12
292,Maria Cruz Gonzalez,12049516,Quimica,2,17,16,10,19
293,Lucia Jimenez Pena,85912957,Electrica,1,14,11,12,9
294,Lorena Ruiz Diaz,15283377,Mecanica,3,12,19,10,13
295,Claudia Fuentes Ramirez,83408270,Sistemas,6,16,15,14,14
296,Fernando Rios Ramirez,73637233,Civil,1,13,14,10,15
297,Andrea Garcia Ramos,24638883,Computacion,7,16,20,10,16
298,Gustavo Reyes Perez,82259226,Ambiental,9,8,8,3,7
299,Hugo Sanchez Rios,99157680,Electrica,9,14,18,15,17
300,Hernan Sanchez Aguilar,41283980,Quimica,3,18,12,17,19
301,Ricardo Fernandez Silva,40942371,Quimica,7,13,13,9,13
302,Pablo Medina Fuentes,13854424,Civil,1,8,15,15,10
303,Tomas Ramirez Morales,11879688,Electronica,10,5,8,12,16
304,Sofia Munoz Herrera,92481351,Civil,1,9,20,10,10
305,Natalia Rodriguez Medina,98193991,Biomedica,9,17,11,9,17
306,Sofia Guerrero Morales,27033334,Electronica,2,12,16,14,15
307,Gloria Fernandez Medina,67624085,Quimica,1,8,18,11,7
308,Diego Guerrero Pena,16688103,Sistemas,3,9,19,4,18
309,Laura Perez Navarro,22994674,Industrial,2,12,9,10,8
310,Oscar Cabrera Gonzalez,20925029,Civil,7,10,19,15,16
311,Daniela Flores Fernandez,39774758,Quimica,6,15,14,11,17
312,Lucia Perez Morales,24256923,Electrica,8,8,16,16,12
313,Daniela Mora Ruiz,20458038,Civil,1,19,11,11,8
314,Javier Soto Campos,97499136,Electrica,6,17,9,17,20
315,Gloria Navarro Sanchez,58307399,Industrial,3,17,17,10,13
316,Emilio Espinoza Chavez,63200945,Computacion,9,17,15,16,10
317,Camila Molina Guerrero,36992059,Electronica,10,12,6,9,11
318,Rodrigo Guerrero Vargas,98161692,Industrial,10,13,17,8,12
319,Andrea Delgado Ramirez,20659571,Sistemas,8,18,9,19,13
320,Laura Fernandez Morales,66903174,Industrial,6,13,10,20,11
321,Pablo Ramos Campos,80777526,Electrica,3,18,13,10,13
322,Ivan Soto Rodriguez,66606509,Computacion,2,16,20,16,20
323,Pablo Castillo Salinas,99197517,Sistemas,3,9,13,16,18
324,Rodrigo Aguilar Vargas,46289966,Biomedica,10,13,18,19,14
325,Antonella Munoz Mendoza,17350720,Quimica,1,18,13,9,18
326,Patricio Guerrero Navarro,66141300,Sistemas,2,9,16,14,7
327,Pablo Aguilar Morales,13115981,Quimica,7,9,9,13,12
328,Fernanda Reyes Garcia,55395421,Industrial,4,16,11,15,10
329,Claudia Munoz Espinoza,73003501,Ambiental,4,15,4,10,18
330,Gabriela Medina Castillo,41015373,Civil,5,20,19,10,16
331,Diego Pena Ruiz,30400962,Sistemas,6,12,19,5,18
332,Fabian Romero Romero,91476936,Civil,9,14,15,12,14
333,Cecilia Castillo Paredes,86549563,Ambiental,5,10,16,12,20
334,Fernando Lopez Perez,98390796,Quimica,2,18,18,14,15
335,Valeria Campos Ramirez,31137775,Ambiental,1,11,9,17,13
336,Rodrigo Cabrera Mendoza,71175756,Electrica,10,14,14,15,10
337,Renata Ramos Gonzalez,96243239,Ambiental,5,16,18,16,9
338,Sebastian Paredes Torres,22061491,Civil,9,11,11,12,9
339,Antonella Ortiz Salinas,79928286,Ambiental,9,19,13,7,7
340,Adrian Garcia Fuentes,81271112,Quimica,9,19,19,11,14
341,Daniela Fernandez Salinas,28081714,Civil,10,17,14,9,15
342,Cecilia Vega Navarro,52923641,Ambiental,5,17,10,11,10
343,Felipe Delgado Alvarez,65092404,Sistemas,1,9,16,10,12
344,Patricia Diaz Castillo,71625957,Ambiental,7,10,20,12,11
345,Rodrigo Vega Mendoza,86465109,Ambiental,9,9,18,14,16
346,Hernan Rios Mendoza,37918754,Civil,4,13,12,6,16
347,Carlos Molina Jimenez,57429777,Electrica,5,12,18,12,17
348,Lorena Ramos Rios,39497741,Biomedica,1,18,12,17,14
349,Natalia Rojas Munoz,74819638,Electronica,7,17,8,11,16
350,Tomas Lopez Rios,12543452,Civil,3,9,15,13,16
351,Raul Fuentes Vargas,27635805,Ambiental,10,10,14,11,14
352,Marcelo Ramos Vega,72498617,Industrial,10,13,10,12,14
353,Pablo Mendoza Perez,10651951,Electronica,5,19,8,14,18
354,Carolina Delgado Cano,44848476,Computacion,1,15,13,12,16
355,Carolina Chavez Fernandez,25724308,Electronica,3,14,14,19,6
356,Sofia Navarro Gonzalez,29348806,Electrica,3,16,10,13,18
357,Camila Delgado Gonzalez,84394806,Civil,9,17,16,13,14
358,Diana Torres Jimenez,57203401,Electrica,3,14,12,12,15
359,Nicolas Delgado Reyes,84896062,Electronica,9,7,19,9,19
360,Mauricio Ortiz Ruiz,43912211,Ambiental,6,10,14,8,9
361,Felipe Ramirez Silva,40601813,Computacion,2,16,10,17,13
362,Mauricio Delgado Chavez,54366193,Computacion,2,19,5,10,12
363,Ignacio Navarro Gonzalez,92909924,Mecanica,10,7,17,12,8
364,Carolina Cruz Silva,67173728,Computacion,2,12,13,14,11
365,Raul Cabrera Garcia,69229236,Quimica,8,14,14,15,10
366,Gloria Gonzalez Ramirez,27247915,Sistemas,10,19,10,17,13
367,Monica Medina Vargas,30232255,Ambiental,1,18,17,15,14
368,Lucia Garcia Diaz,65552312,Mecanica,2,15,17,13,12
369,Hugo Salinas Vargas,57190237,Electronica,10,10,11,13,17
370,Valeria Rios Castillo,74476664,Civil,7,11,13,10,16
371,Fabian Jimenez Fuentes,28398270,Electrica,10,11,10,6,14
372,Cecilia Ramirez Salinas,61916104,Mecanica,7,16,13,20,13
373,Ana Garcia Ortiz,78848086,Quimica,10,13,12,13,14
374,Paula Sanchez Cabrera,57372944,Electrica,8,18,12,17,13
375,Patricia Guerrero Campos,57882593,Biomedica,6,20,14,18,14
376,Antonella Paredes Diaz,95048638,Electrica,3,14,10,11,14
377,Carolina Ortiz Cabrera,85440382,Ambiental,10,14,17,11,12
378,Alejandro Molina Espinoza,42976214,Industrial,2,10,18,10,20
379,Felipe Castillo Medina,76396050,Industrial,9,19,10,11,13
380,Helena Diaz Romero,75582742,Electronica,2,9,9,13,18
381,Sofia Alvarez Fernandez,61184059,Ambiental,5,14,10,16,10
382,Andrea Silva Aguilar,17036377,Civil,9,14,16,12,11
383,Lucia Molina Fuentes,76485125,Civil,1,14,19,13,15
384,Renata Munoz Castillo,32157887,Biomedica,6,13,13,13,14
385,Ana Garcia Cano,70400941,Quimica,5,17,15,18,11
386,Carlos Ruiz Jimenez,75309451,Electrica,2,13,9,11,16
387,Alejandro Rios Pena,85526169,Industrial,6,17,16,16,13
388,Carolina Soto Alvarez,63390797,Computacion,8,18,11,13,17
389,Julia Aguilar Morales,63334438,Mecanica,10,12,11,17,12
390,Ivan Munoz Cabrera,51312759,Mecanica,4,16,14,16,9
391,Cristian Vega Ramos,10969308,Computacion,7,18,13,9,9
392,Gloria Rodriguez Flores,53555975,Electronica,3,19,11,13,9
393,Javier Mendoza Castillo,33538950,Computacion,9,15,12,16,10
394,Fabian Medina Flores,12750179,Quimica,5,4,15,15,11
395,Patricio Rodriguez Pena,13289055,Ambiental,4,12,16,13,9
396,Laura Jimenez Sanchez,58195792,Mecanica,1,9,16,9,15
397,Alejandro Soto Garcia,41870832,Ambiental,10,11,8,14,13
398,Gloria Chavez Espinoza,76928970,Electronica,2,15,11,19,9
399,Isabella Jimenez Garcia,86761377,Mecanica,4,11,11,15,15
400,Monica Cruz Lopez,26099189,Quimica,3,9,15,13,6
401,Sebastian Sanchez Alvarez,86317122,Computacion,2,12,20,12,14
402,Beatriz Sanchez Soto,26349347,Sistemas,9,11,13,14,20
403,Claudia Garcia Martinez,91760358,Civil,5,8,9,15,12
404,Isabella Salinas Campos,50811234,Quimica,9,9,17,16,6
405,Diana Torres Paredes,53446300,Civil,3,8,16,13,11
